,Date,Adj_Cost
164,2015-01-26,128150.86486467483
165,2015-01-27,2092.514060182093
166,2015-01-28,4621.462734020867
167,2015-01-29,16866.51172064955
168,2015-01-30,47619.742530105446
169,2015-01-31,9700.6420972214
170,2015-02-01,130744.29554806996
171,2015-02-02,15873.562883131504
172,2015-02-03,2453.4152682394924
173,2015-02-04,289429.8664452543
174,2015-02-05,12224.754796202813
175,2015-02-06,21253.40562563897
176,2015-02-07,51.74102570206864
177,2015-02-08,10620.436755502431
178,2015-02-09,18833.044996171462
179,2015-02-10,1774.1486360500476
180,2015-02-12,2452.5609436920545
181,2015-02-13,29493.27476752373
182,2015-02-14,12306.181256826923
183,2015-02-15,16810.25304252472
184,2015-02-16,7493.279133086227
185,2015-02-17,1440.180799216115
186,2015-02-18,5677.930966393558
